                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5258,                  3.181,                  1.638,                0.00232,                    0.5,                 0.4975,                0.49054,                0.61407,                 3.0412,                0.94894,                 0.0712,                 0.0032,                 0.0032
                      1,                 0.6124,                 1.6114,                0.93402,                0.91628,                0.55645,                 0.8868,                0.69429,                0.78638,                 2.0644,                0.99745,               0.041494,              0.0064936,              0.0064936
                      2,                0.67727,                 1.0248,                0.94627,                0.88234,                0.89446,                0.90043,                0.64578,                0.70831,                 1.0615,                0.96677,               0.011781,              0.0097806,              0.0097806
                      3,                0.71025,                0.99721,                0.95546,                0.95661,                0.81981,                0.97433,                0.75817,                0.61193,                 0.9518,                 1.0227,              0.0099703,              0.0099703,              0.0099703
                      4,                0.68022,                 0.8947,                0.94619,                0.99737,                0.96958,                0.97821,                0.71376,                0.66627,                0.83009,                0.96943,              0.0099703,              0.0099703,              0.0099703
                      5,                0.65749,                0.88433,                0.94403,                0.96361,                0.95455,                0.96975,                0.70546,                 0.6904,                 0.7945,                0.97217,              0.0099604,              0.0099604,              0.0099604
                      6,                0.60319,                 0.7887,                0.94346,                 0.9793,                0.95566,                0.99002,                0.76456,                0.71781,                0.86655,                0.98655,              0.0099505,              0.0099505,              0.0099505
                      7,                0.62528,                0.77951,                0.93929,                0.99461,                0.98323,                0.98989,                0.81067,                0.59788,                 0.6736,                0.93552,              0.0099406,              0.0099406,              0.0099406
                      8,                 0.6052,                0.72187,                0.94625,                0.98233,                0.99242,                0.98982,                0.73361,                0.73486,                0.72767,                0.96527,              0.0099307,              0.0099307,              0.0099307
                      9,                0.58415,                0.68537,                0.93409,                0.99362,                0.97698,                0.98974,                0.82019,                 0.4999,                0.67943,                0.90549,              0.0099208,              0.0099208,              0.0099208
                     10,                0.58886,                0.68504,                0.93941,                0.99458,                0.98385,                0.99277,                0.78326,                 0.6373,                0.65023,                0.95356,              0.0099109,              0.0099109,              0.0099109
                     11,                0.56101,                0.67337,                0.92688,                0.99199,                0.99242,                0.99005,                0.79913,                0.59784,                0.57591,                0.94416,               0.009901,               0.009901,               0.009901
                     12,                 0.5353,                0.64835,                0.93365,                0.99577,                0.99224,                0.99005,                0.82009,                0.54781,                0.64613,                0.90586,              0.0098911,              0.0098911,              0.0098911
                     13,                0.54327,                0.60648,                0.93389,                 0.9947,                0.98984,                0.99005,                0.76615,                0.55597,                0.60179,                0.91726,              0.0098812,              0.0098812,              0.0098812
                     14,                0.56591,                0.64016,                0.92921,                0.99601,                0.99242,                0.99098,                0.80595,                 0.5328,                0.60519,                0.90924,              0.0098713,              0.0098713,              0.0098713
                     15,                0.52608,                0.61353,                 0.9292,                0.99257,                0.99242,                0.99002,                0.78926,                0.55262,                0.65236,                0.92051,              0.0098614,              0.0098614,              0.0098614
                     16,                0.51481,                0.61728,                0.92163,                0.99656,                0.99242,                0.99015,                 0.7534,                0.65764,                0.55777,                0.94535,              0.0098515,              0.0098515,              0.0098515
                     17,                0.52942,                0.58201,                0.93478,                0.98395,                0.99242,                0.99096,                0.76958,                0.59157,                0.63215,                0.91972,              0.0098416,              0.0098416,              0.0098416
                     18,                0.51851,                 0.6088,                0.93705,                0.99537,                0.99242,                0.99145,                 0.8256,                0.54886,                0.48777,                0.94057,              0.0098317,              0.0098317,              0.0098317
                     19,                0.51738,                0.59186,                0.91525,                0.99429,                0.99096,                0.99413,                0.82568,                0.55981,                0.65416,                0.90872,              0.0098218,              0.0098218,              0.0098218
                     20,                0.49203,                 0.5658,                0.91929,                 0.9966,                0.99196,                 0.9919,                0.82531,                0.58321,                 0.6566,                0.92086,              0.0098119,              0.0098119,              0.0098119
                     21,                0.47701,                0.57126,                0.92118,                0.99526,                0.99242,                0.99012,                0.82948,                0.59983,                0.55363,                0.93981,               0.009802,               0.009802,               0.009802
                     22,                0.51138,                0.57533,                0.92746,                0.99586,                0.99242,                0.99115,                0.82784,                0.55365,                0.50652,                0.92606,              0.0097921,              0.0097921,              0.0097921
                     23,                 0.4988,                0.52564,                0.91601,                0.99466,                0.99242,                0.99008,                0.81447,                0.54239,                0.54513,                0.91526,              0.0097822,              0.0097822,              0.0097822
                     24,                 0.5009,                0.55943,                0.91127,                0.99518,                0.99235,                 0.9928,                0.82288,                0.52985,                0.53005,                0.90486,              0.0097723,              0.0097723,              0.0097723
                     25,                0.48521,                0.53553,                0.91222,                 0.9937,                0.99242,                0.99471,                 0.8331,                0.44198,                0.50682,                0.89583,              0.0097624,              0.0097624,              0.0097624
                     26,                0.49131,                0.53959,                0.90953,                 0.9962,                0.99242,                0.99465,                0.79979,                0.54876,                0.46769,                 0.9361,              0.0097525,              0.0097525,              0.0097525
                     27,                0.46535,                0.52911,                 0.9234,                 0.9961,                0.99242,                0.99375,                0.82377,                0.51242,                0.47305,                0.90861,              0.0097426,              0.0097426,              0.0097426
                     28,                0.48936,                0.53161,                0.92149,                0.99635,                0.99242,                0.99359,                0.82823,                 0.4944,                0.42587,                0.90282,              0.0097327,              0.0097327,              0.0097327
                     29,                0.47083,                0.51441,                0.90509,                0.99658,                0.99242,                0.99183,                0.82343,                0.51508,                0.53752,                0.90711,              0.0097228,              0.0097228,              0.0097228
                     30,                0.47595,                0.49723,                0.90441,                0.99638,                0.99242,                0.99429,                0.79858,                0.55614,                 0.4163,                0.91609,              0.0097129,              0.0097129,              0.0097129
                     31,                0.47517,                0.48756,                 0.9038,                0.99525,                0.99242,                0.99205,                0.82819,                 0.4965,                0.41789,                 0.8983,               0.009703,               0.009703,               0.009703
