File Name,Time,min,s
image_0000000.jpg,00:00.0,47,2.306
image_0000001.jpg,00:00.0,47,2.381
image_0000002.jpg,00:00.0,47,2.419
image_0000003.jpg,00:00.0,47,2.451
image_0000004.jpg,00:00.0,47,2.486
image_0000005.jpg,00:00.0,47,2.523
image_0000006.jpg,00:00.0,47,2.567
image_0000007.jpg,00:00.0,47,2.616
image_0000008.jpg,00:00.0,47,2.648
image_0000009.jpg,00:00.0,47,2.668
image_0000010.jpg,00:00.0,47,2.691
image_0000011.jpg,00:00.0,47,2.717
image_0000012.jpg,00:00.0,47,2.743
image_0000013.jpg,00:00.0,47,2.771
image_0000014.jpg,00:00.0,47,2.802
image_0000015.jpg,00:00.0,47,2.831
image_0000016.jpg,00:00.0,47,2.86
image_0000017.jpg,00:00.0,47,2.891
image_0000018.jpg,00:00.0,47,2.921
image_0000019.jpg,00:00.0,47,2.95
image_0000020.jpg,00:00.0,47,2.981
image_0000021.jpg,00:00.0,47,3.011
image_0000022.jpg,00:00.0,47,3.042
image_0000023.jpg,00:00.0,47,3.072
image_0000024.jpg,00:00.0,47,3.105
image_0000025.jpg,00:00.0,47,3.136
image_0000026.jpg,00:00.0,47,3.167
image_0000027.jpg,00:00.0,47,3.199
image_0000028.jpg,00:00.0,47,3.235
image_0000029.jpg,00:00.0,47,3.27
image_0000030.jpg,00:00.0,47,3.304
image_0000031.jpg,00:00.0,47,3.338
image_0000032.jpg,00:00.0,47,3.371
image_0000033.jpg,00:00.0,47,3.406
image_0000034.jpg,00:00.0,47,3.437
image_0000035.jpg,00:00.0,47,3.481
image_0000036.jpg,00:00.0,47,3.516
image_0000037.jpg,00:00.0,47,3.552
image_0000038.jpg,00:00.0,47,3.586
image_0000039.jpg,00:00.0,47,3.625
image_0000040.jpg,00:00.0,47,3.66
image_0000041.jpg,00:00.0,47,3.695
image_0000042.jpg,00:00.0,47,3.733
image_0000043.jpg,00:00.0,47,3.766
image_0000044.jpg,00:00.0,47,3.803
image_0000045.jpg,00:00.0,47,3.84
image_0000046.jpg,00:00.0,47,3.878
image_0000047.jpg,00:00.0,47,3.915
image_0000048.jpg,00:00.0,47,3.951
image_0000049.jpg,00:00.0,47,3.989
image_0000050.jpg,00:00.0,47,4.029
image_0000051.jpg,00:00.0,47,4.067
image_0000052.jpg,00:00.0,47,4.107
image_0000053.jpg,00:00.0,47,4.156
image_0000054.jpg,00:00.0,47,4.195
image_0000055.jpg,00:00.0,47,4.23
image_0000056.jpg,00:00.0,47,4.265
image_0000057.jpg,00:00.0,47,4.304
image_0000058.jpg,00:00.0,47,4.342
image_0000059.jpg,00:00.0,47,4.381
image_0000060.jpg,00:00.0,47,4.416
image_0000061.jpg,00:00.0,47,4.454
image_0000062.jpg,00:00.0,47,4.492
image_0000063.jpg,00:00.0,47,4.527
image_0000064.jpg,00:00.0,47,4.568
image_0000065.jpg,00:00.0,47,4.606
image_0000066.jpg,00:00.0,47,4.647
image_0000067.jpg,00:00.0,47,4.693
image_0000068.jpg,00:00.0,47,4.729
image_0000069.jpg,00:00.0,47,4.764
image_0000070.jpg,00:00.0,47,4.8
image_0000071.jpg,00:00.0,47,4.84
image_0000072.jpg,00:00.0,47,4.888
image_0000073.jpg,00:00.0,47,4.924
image_0000074.jpg,00:00.0,47,4.96
image_0000075.jpg,00:00.0,47,4.995
image_0000076.jpg,00:00.0,47,5.03
image_0000077.jpg,00:00.0,47,5.069
image_0000078.jpg,00:00.0,47,5.105
image_0000079.jpg,00:00.0,47,5.144
image_0000080.jpg,00:00.0,47,5.188
image_0000081.jpg,00:00.0,47,5.225
image_0000082.jpg,00:00.0,47,5.265
image_0000083.jpg,00:00.0,47,5.303
image_0000084.jpg,00:00.0,47,5.338
image_0000085.jpg,00:00.0,47,5.375
image_0000086.jpg,00:00.0,47,5.413
image_0000087.jpg,00:00.0,47,5.451
image_0000088.jpg,00:00.0,47,5.488
image_0000089.jpg,00:00.0,47,5.524
image_0000090.jpg,00:00.0,47,5.562
image_0000091.jpg,00:00.0,47,5.598
image_0000092.jpg,00:00.0,47,5.635
image_0000093.jpg,00:00.0,47,5.672
image_0000094.jpg,00:00.0,47,5.71
image_0000095.jpg,00:00.0,47,5.758
image_0000096.jpg,00:00.0,47,5.794
image_0000097.jpg,00:00.0,47,5.835
image_0000098.jpg,00:00.0,47,5.881
image_0000099.jpg,00:00.0,47,5.924
image_0000100.jpg,00:00.0,47,5.963
image_0000101.jpg,00:00.0,47,6.004
image_0000102.jpg,00:00.0,47,6.054
image_0000103.jpg,00:00.0,47,6.091
image_0000104.jpg,00:00.0,47,6.136
image_0000105.jpg,00:00.0,47,6.17
image_0000106.jpg,00:00.0,47,6.205
image_0000107.jpg,00:00.0,47,6.241
image_0000108.jpg,00:00.0,47,6.281
image_0000109.jpg,00:00.0,47,6.317
image_0000110.jpg,00:00.0,47,6.355
image_0000111.jpg,00:00.0,47,6.393
image_0000112.jpg,00:00.0,47,6.431
image_0000113.jpg,00:00.0,47,6.466
image_0000114.jpg,00:00.0,47,6.509
image_0000115.jpg,00:00.0,47,6.547
image_0000116.jpg,00:00.0,47,6.584
image_0000117.jpg,00:00.0,47,6.621
image_0000118.jpg,00:00.0,47,6.661
image_0000119.jpg,00:00.0,47,6.707
image_0000120.jpg,00:00.0,47,6.751
image_0000121.jpg,00:00.0,47,6.789
image_0000122.jpg,00:00.0,47,6.828
image_0000123.jpg,00:00.0,47,6.868
image_0000124.jpg,00:00.0,47,6.909
image_0000125.jpg,00:00.0,47,6.945
image_0000126.jpg,00:00.0,47,6.982
image_0000127.jpg,00:00.0,47,7.022
image_0000128.jpg,00:00.0,47,7.061
image_0000129.jpg,00:00.0,47,7.109
image_0000130.jpg,00:00.0,47,7.148
image_0000131.jpg,00:00.0,47,7.185
image_0000132.jpg,00:00.0,47,7.223
image_0000133.jpg,00:00.0,47,7.261
image_0000134.jpg,00:00.0,47,7.297
image_0000135.jpg,00:00.0,47,7.335
image_0000136.jpg,00:00.0,47,7.371
image_0000137.jpg,00:00.0,47,7.411
image_0000138.jpg,00:00.0,47,7.448
image_0000139.jpg,00:00.0,47,7.484
image_0000140.jpg,00:00.0,47,7.52
image_0000141.jpg,00:00.0,47,7.56
image_0000142.jpg,00:00.0,47,7.598
image_0000143.jpg,00:00.0,47,7.635
image_0000144.jpg,00:00.0,47,7.671
image_0000145.jpg,00:00.0,47,7.711
image_0000146.jpg,00:00.0,47,7.749
image_0000147.jpg,00:00.0,47,7.791
image_0000148.jpg,00:00.0,47,7.827
image_0000149.jpg,00:00.0,47,7.863
image_0000150.jpg,00:00.0,47,7.898
image_0000151.jpg,00:00.0,47,7.937
image_0000152.jpg,00:00.0,47,7.977
image_0000153.jpg,00:00.0,47,8.016
image_0000154.jpg,00:00.0,47,8.055
image_0000155.jpg,00:00.0,47,8.092
image_0000156.jpg,00:00.0,47,8.131
image_0000157.jpg,00:00.0,47,8.171
image_0000158.jpg,00:00.0,47,8.206
image_0000159.jpg,00:00.0,47,8.246
image_0000160.jpg,00:00.0,47,8.284
image_0000161.jpg,00:00.0,47,8.32
image_0000162.jpg,00:00.0,47,8.358
image_0000163.jpg,00:00.0,47,8.393
image_0000164.jpg,00:00.0,47,8.428
image_0000165.jpg,00:00.0,47,8.464
image_0000166.jpg,00:00.0,47,8.51
image_0000167.jpg,00:00.0,47,8.546
image_0000168.jpg,00:00.0,47,8.585
image_0000169.jpg,00:00.0,47,8.621
image_0000170.jpg,00:00.0,47,8.657
image_0000171.jpg,00:00.0,47,8.693
image_0000172.jpg,00:00.0,47,8.728
image_0000173.jpg,00:00.0,47,8.777
image_0000174.jpg,00:00.0,47,8.816
image_0000175.jpg,00:00.0,47,8.853
image_0000176.jpg,00:00.0,47,8.892
image_0000177.jpg,00:00.0,47,8.931
image_0000178.jpg,00:00.0,47,8.969
image_0000179.jpg,00:00.0,47,9.007
image_0000180.jpg,00:00.0,47,9.045
image_0000181.jpg,00:00.0,47,9.081
image_0000182.jpg,00:00.0,47,9.117
image_0000183.jpg,00:00.0,47,9.154
image_0000184.jpg,00:00.0,47,9.191
image_0000185.jpg,00:00.0,47,9.229
image_0000186.jpg,00:00.0,47,9.267
image_0000187.jpg,00:00.0,47,9.305
image_0000188.jpg,00:00.0,47,9.351
image_0000189.jpg,00:00.0,47,9.389
image_0000190.jpg,00:00.0,47,9.424
image_0000191.jpg,00:00.0,47,9.458
image_0000192.jpg,00:00.0,47,9.499
image_0000193.jpg,00:00.0,47,9.535
image_0000194.jpg,00:00.0,47,9.571
image_0000195.jpg,00:00.0,47,9.609
image_0000196.jpg,00:00.0,47,9.647
image_0000197.jpg,00:00.0,47,9.689
image_0000198.jpg,00:00.0,47,9.726
image_0000199.jpg,00:00.0,47,9.764
image_0000200.jpg,00:00.0,47,9.799
image_0000201.jpg,00:00.0,47,9.84
image_0000202.jpg,00:00.0,47,9.88
image_0000203.jpg,00:00.0,47,9.915
image_0000204.jpg,00:00.0,47,9.951
image_0000205.jpg,00:00.0,47,9.988
image_0000206.jpg,00:00.0,47,10.024
image_0000207.jpg,00:00.0,47,10.069
image_0000208.jpg,00:00.0,47,10.11
image_0000209.jpg,00:00.0,47,10.146
image_0000210.jpg,00:00.0,47,10.183
image_0000211.jpg,00:00.0,47,10.221
image_0000212.jpg,00:00.0,47,10.258
image_0000213.jpg,00:00.0,47,10.295
image_0000214.jpg,00:00.0,47,10.332
image_0000215.jpg,00:00.0,47,10.368
image_0000216.jpg,00:00.0,47,10.405
image_0000217.jpg,00:00.0,47,10.444
image_0000218.jpg,00:00.0,47,10.482
image_0000219.jpg,00:00.0,47,10.521
image_0000220.jpg,00:00.0,47,10.557
image_0000221.jpg,00:00.0,47,10.594
image_0000222.jpg,00:00.0,47,10.632
image_0000223.jpg,00:00.0,47,10.674
image_0000224.jpg,00:00.0,47,10.716
image_0000225.jpg,00:00.0,47,10.756
image_0000226.jpg,00:00.0,47,10.791
image_0000227.jpg,00:00.0,47,10.831
image_0000228.jpg,00:00.0,47,10.868
image_0000229.jpg,00:00.0,47,10.91
image_0000230.jpg,00:00.0,47,10.963
image_0000231.jpg,00:00.0,47,11.009
image_0000232.jpg,00:00.0,47,11.052
image_0000233.jpg,00:00.0,47,11.089
image_0000234.jpg,00:00.0,47,11.126
image_0000235.jpg,00:00.0,47,11.169
image_0000236.jpg,00:00.0,47,11.207
image_0000237.jpg,00:00.0,47,11.244
image_0000238.jpg,00:00.0,47,11.281
image_0000239.jpg,00:00.0,47,11.322
image_0000240.jpg,00:00.0,47,11.359
image_0000241.jpg,00:00.0,47,11.399
image_0000242.jpg,00:00.0,47,11.442
image_0000243.jpg,00:00.0,47,11.483
image_0000244.jpg,00:00.0,47,11.521
image_0000245.jpg,00:00.0,47,11.559
image_0000246.jpg,00:00.0,47,11.596
image_0000247.jpg,00:00.0,47,11.633
image_0000248.jpg,00:00.0,47,11.674
image_0000249.jpg,00:00.0,47,11.708
image_0000250.jpg,00:00.0,47,11.742
image_0000251.jpg,00:00.0,47,11.779
image_0000252.jpg,00:00.0,47,11.823
image_0000253.jpg,00:00.0,47,11.859
image_0000254.jpg,00:00.0,47,11.9
image_0000255.jpg,00:00.0,47,11.94
image_0000256.jpg,00:00.0,47,11.979
image_0000257.jpg,00:00.0,47,12.015
image_0000258.jpg,00:00.0,47,12.054
image_0000259.jpg,00:00.0,47,12.093
image_0000260.jpg,00:00.0,47,12.13
image_0000261.jpg,00:00.0,47,12.166
image_0000262.jpg,00:00.0,47,12.207
image_0000263.jpg,00:00.0,47,12.244
image_0000264.jpg,00:00.0,47,12.279
image_0000265.jpg,00:00.0,47,12.313
image_0000266.jpg,00:00.0,47,12.352
image_0000267.jpg,00:00.0,47,12.386
image_0000268.jpg,00:00.0,47,12.421
image_0000269.jpg,00:00.0,47,12.458
image_0000270.jpg,00:00.0,47,12.494
image_0000271.jpg,00:00.0,47,12.532
image_0000272.jpg,00:00.0,47,12.568
image_0000273.jpg,00:00.0,47,12.611
image_0000274.jpg,00:00.0,47,12.647
image_0000275.jpg,00:00.0,47,12.686
image_0000276.jpg,00:00.0,47,12.722
image_0000277.jpg,00:00.0,47,12.766
image_0000278.jpg,00:00.0,47,12.804
image_0000279.jpg,00:00.0,47,12.842
image_0000280.jpg,00:00.0,47,12.878
image_0000281.jpg,00:00.0,47,12.917
image_0000282.jpg,00:00.0,47,12.953
image_0000283.jpg,00:00.0,47,12.993
image_0000284.jpg,00:00.0,47,13.029
image_0000285.jpg,00:00.0,47,13.064
image_0000286.jpg,00:00.0,47,13.101
image_0000287.jpg,00:00.0,47,13.14
image_0000288.jpg,00:00.0,47,13.177
image_0000289.jpg,00:00.0,47,13.217
image_0000290.jpg,00:00.0,47,13.255
image_0000291.jpg,00:00.0,47,13.292
image_0000292.jpg,00:00.0,47,13.327
image_0000293.jpg,00:00.0,47,13.363
image_0000294.jpg,00:00.0,47,13.397
image_0000295.jpg,00:00.0,47,13.439
image_0000296.jpg,00:00.0,47,13.474
image_0000297.jpg,00:00.0,47,13.511
image_0000298.jpg,00:00.0,47,13.548
image_0000299.jpg,00:00.0,47,13.583
image_0000300.jpg,00:00.0,47,13.618
image_0000301.jpg,00:00.0,47,13.655
image_0000302.jpg,00:00.0,47,13.692
image_0000303.jpg,00:00.0,47,13.732
image_0000304.jpg,00:00.0,47,13.771
image_0000305.jpg,00:00.0,47,13.807
image_0000306.jpg,00:00.0,47,13.846
image_0000307.jpg,00:00.0,47,13.884
image_0000308.jpg,00:00.0,47,13.92
image_0000309.jpg,00:00.0,47,13.956
image_0000310.jpg,00:00.0,47,13.994
image_0000311.jpg,00:00.0,47,14.031
image_0000312.jpg,00:00.0,47,14.069
image_0000313.jpg,00:00.0,47,14.111
image_0000314.jpg,00:00.0,47,14.15
image_0000315.jpg,00:00.0,47,14.186
image_0000316.jpg,00:00.0,47,14.224
image_0000317.jpg,00:00.0,47,14.259
image_0000318.jpg,00:00.0,47,14.296
image_0000319.jpg,00:00.0,47,14.334
image_0000320.jpg,00:00.0,47,14.371
image_0000321.jpg,00:00.0,47,14.409
image_0000322.jpg,00:00.0,47,14.445
image_0000323.jpg,00:00.0,47,14.481
image_0000324.jpg,00:00.0,47,14.517
image_0000325.jpg,00:00.0,47,14.551
image_0000326.jpg,00:00.0,47,14.586
image_0000327.jpg,00:00.0,47,14.621
image_0000328.jpg,00:00.0,47,14.657
image_0000329.jpg,00:00.0,47,14.695
image_0000330.jpg,00:00.0,47,14.732
image_0000331.jpg,00:00.0,47,14.77
image_0000332.jpg,00:00.0,47,14.806
image_0000333.jpg,00:00.0,47,14.844
image_0000334.jpg,00:00.0,47,14.884
image_0000335.jpg,00:00.0,47,14.921
image_0000336.jpg,00:00.0,47,14.96
image_0000337.jpg,00:00.0,47,14.999
image_0000338.jpg,00:00.0,47,15.034
image_0000339.jpg,00:00.0,47,15.075
image_0000340.jpg,00:00.0,47,15.112
image_0000341.jpg,00:00.0,47,15.158
image_0000342.jpg,00:00.0,47,15.201
image_0000343.jpg,00:00.0,47,15.238
image_0000344.jpg,00:00.0,47,15.275
image_0000345.jpg,00:00.0,47,15.312
image_0000346.jpg,00:00.0,47,15.35
image_0000347.jpg,00:00.0,47,15.389
image_0000348.jpg,00:00.0,47,15.425
image_0000349.jpg,00:00.0,47,15.461
image_0000350.jpg,00:00.0,47,15.497
image_0000351.jpg,00:00.0,47,15.534
image_0000352.jpg,00:00.0,47,15.57
image_0000353.jpg,00:00.0,47,15.609
image_0000354.jpg,00:00.0,47,15.647
image_0000355.jpg,00:00.0,47,15.684
image_0000356.jpg,00:00.0,47,15.722
image_0000357.jpg,00:00.0,47,15.761
image_0000358.jpg,00:00.0,47,15.798
image_0000359.jpg,00:00.0,47,15.835
image_0000360.jpg,00:00.0,47,15.871
image_0000361.jpg,00:00.0,47,15.91
image_0000362.jpg,00:00.0,47,15.949
image_0000363.jpg,00:00.0,47,15.986
image_0000364.jpg,00:00.0,47,16.024
image_0000365.jpg,00:00.0,47,16.059
image_0000366.jpg,00:00.0,47,16.095
image_0000367.jpg,00:00.0,47,16.134
image_0000368.jpg,00:00.0,47,16.173
image_0000369.jpg,00:00.0,47,16.211
image_0000370.jpg,00:00.0,47,16.247
image_0000371.jpg,00:00.0,47,16.283
image_0000372.jpg,00:00.0,47,16.318
image_0000373.jpg,00:00.0,47,16.358
image_0000374.jpg,00:00.0,47,16.393
image_0000375.jpg,00:00.0,47,16.431
image_0000376.jpg,00:00.0,47,16.467
image_0000377.jpg,00:00.0,47,16.502
image_0000378.jpg,00:00.0,47,16.538
image_0000379.jpg,00:00.0,47,16.572
image_0000380.jpg,00:00.0,47,16.611
image_0000381.jpg,00:00.0,47,16.647
image_0000382.jpg,00:00.0,47,16.682
image_0000383.jpg,00:00.0,47,16.723
image_0000384.jpg,00:00.0,47,16.757
image_0000385.jpg,00:00.0,47,16.794
image_0000386.jpg,00:00.0,47,16.829
image_0000387.jpg,00:00.0,47,16.866
image_0000388.jpg,00:00.0,47,16.906
image_0000389.jpg,00:00.0,47,16.954
image_0000390.jpg,00:00.0,47,16.989
image_0000391.jpg,00:00.0,47,17.027
image_0000392.jpg,00:00.0,47,17.064
image_0000393.jpg,00:00.0,47,17.1
image_0000394.jpg,00:00.0,47,17.139
image_0000395.jpg,00:00.0,47,17.175
image_0000396.jpg,00:00.0,47,17.218
image_0000397.jpg,00:00.0,47,17.296
image_0000398.jpg,00:00.0,47,17.331
image_0000399.jpg,00:00.0,47,17.37
image_0000400.jpg,00:00.0,47,17.408
image_0000401.jpg,00:00.0,47,17.447
image_0000402.jpg,00:00.0,47,17.489
image_0000403.jpg,00:00.0,47,17.523
image_0000404.jpg,00:00.0,47,17.558
image_0000405.jpg,00:00.0,47,17.594
image_0000406.jpg,00:00.0,47,17.632
image_0000407.jpg,00:00.0,47,17.67
image_0000408.jpg,00:00.0,47,17.707
image_0000409.jpg,00:00.0,47,17.745
image_0000410.jpg,00:00.0,47,17.781
image_0000411.jpg,00:00.0,47,17.821
image_0000412.jpg,00:00.0,47,17.867
image_0000413.jpg,00:00.0,47,17.905
image_0000414.jpg,00:00.0,47,17.942
image_0000415.jpg,00:00.0,47,17.978
image_0000416.jpg,00:00.0,47,18.013
image_0000417.jpg,00:00.0,47,18.05
image_0000418.jpg,00:00.0,47,18.086
image_0000419.jpg,00:00.0,47,18.124
image_0000420.jpg,00:00.0,47,18.164
image_0000421.jpg,00:00.0,47,18.201
image_0000422.jpg,00:00.0,47,18.238
image_0000423.jpg,00:00.0,47,18.275
image_0000424.jpg,00:00.0,47,18.319
image_0000425.jpg,00:00.0,47,18.357
image_0000426.jpg,00:00.0,47,18.395
image_0000427.jpg,00:00.0,47,18.43
image_0000428.jpg,00:00.0,47,18.466
image_0000429.jpg,00:00.0,47,18.501
image_0000430.jpg,00:00.0,47,18.537
image_0000431.jpg,00:00.0,47,18.576
image_0000432.jpg,00:00.0,47,18.611
image_0000433.jpg,00:00.0,47,18.649
image_0000434.jpg,00:00.0,47,18.685
image_0000435.jpg,00:00.0,47,18.722
image_0000436.jpg,00:00.0,47,18.757
image_0000437.jpg,00:00.0,47,18.793
image_0000438.jpg,00:00.0,47,18.833
image_0000439.jpg,00:00.0,47,18.873
image_0000440.jpg,00:00.0,47,18.912
image_0000441.jpg,00:00.0,47,18.955
image_0000442.jpg,00:00.0,47,18.992
image_0000443.jpg,00:00.0,47,19.027
image_0000444.jpg,00:00.0,47,19.07
image_0000445.jpg,00:00.0,47,19.11
image_0000446.jpg,00:00.0,47,19.15
image_0000447.jpg,00:00.0,47,19.188
image_0000448.jpg,00:00.0,47,19.224
image_0000449.jpg,00:00.0,47,19.263
image_0000450.jpg,00:00.0,47,19.301
image_0000451.jpg,00:00.0,47,19.336
image_0000452.jpg,00:00.0,47,19.376
image_0000453.jpg,00:00.0,47,19.413
image_0000454.jpg,00:00.0,47,19.455
image_0000455.jpg,00:00.0,47,19.499
image_0000456.jpg,00:00.0,47,19.534
image_0000457.jpg,00:00.0,47,19.589
image_0000458.jpg,00:00.0,47,19.629
image_0000459.jpg,00:00.0,47,19.667
image_0000460.jpg,00:00.0,47,19.704
image_0000461.jpg,00:00.0,47,19.742
image_0000462.jpg,00:00.0,47,19.779
image_0000463.jpg,00:00.0,47,19.815
image_0000464.jpg,00:00.0,47,19.852
image_0000465.jpg,00:00.0,47,19.889
image_0000466.jpg,00:00.0,47,19.925
image_0000467.jpg,00:00.0,47,19.961
image_0000468.jpg,00:00.0,47,19.997
image_0000469.jpg,00:00.0,47,20.034
image_0000470.jpg,00:00.0,47,20.069
image_0000471.jpg,00:00.0,47,20.104
image_0000472.jpg,00:00.0,47,20.139
image_0000473.jpg,00:00.0,47,20.176
image_0000474.jpg,00:00.0,47,20.214
image_0000475.jpg,00:00.0,47,20.26
image_0000476.jpg,00:00.0,47,20.294
image_0000477.jpg,00:00.0,47,20.328
image_0000478.jpg,00:00.0,47,20.364
image_0000479.jpg,00:00.0,47,20.4
image_0000480.jpg,00:00.0,47,20.436
image_0000481.jpg,00:00.0,47,20.471
image_0000482.jpg,00:00.0,47,20.512
image_0000483.jpg,00:00.0,47,20.549
image_0000484.jpg,00:00.0,47,20.592
image_0000485.jpg,00:00.0,47,20.629
image_0000486.jpg,00:00.0,47,20.668
image_0000487.jpg,00:00.0,47,20.705
image_0000488.jpg,00:00.0,47,20.742
image_0000489.jpg,00:00.0,47,20.778
image_0000490.jpg,00:00.0,47,20.812
