                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.35053,                0.34899,                0.88495,                0.99573,                0.98148,                0.99302,                0.83788,                0.47987,                0.30555,                0.88407,               0.070769,              0.0032479,              0.0032479
                      1,                0.35795,                 0.3469,                0.87987,                0.99081,                0.98765,                0.99384,                0.81945,                0.52747,                0.35223,                0.88815,               0.040763,              0.0065747,              0.0065747
                      2,                0.38233,                0.36828,                0.87628,                0.98173,                0.96914,                0.98713,                0.82352,                0.52607,                0.36819,                0.89373,                0.01075,              0.0098949,              0.0098949
                      3,                0.42183,                 0.3617,                0.89403,                0.99728,                0.98617,                0.99377,                0.81642,                0.55358,                0.35444,                0.90902,              0.0099703,              0.0099703,              0.0099703
                      4,                0.44539,                0.38347,                0.89397,                0.99092,                0.98765,                0.99458,                0.78735,                0.56459,                0.40037,                0.89864,              0.0099703,              0.0099703,              0.0099703
                      5,                0.41979,                0.38023,                0.89338,                0.98958,                      1,                0.99476,                0.82539,                0.54161,                0.35018,                0.89496,              0.0099604,              0.0099604,              0.0099604
                      6,                 0.4148,                0.35415,                0.88824,                0.99587,                0.98765,                0.99416,                0.82141,                0.46608,                0.31962,                0.89039,              0.0099505,              0.0099505,              0.0099505
                      7,                0.40509,                0.37881,                0.88886,                0.98999,                 0.9997,                0.99476,                0.83969,                0.52266,                0.33439,                0.89734,              0.0099406,              0.0099406,              0.0099406
                      8,                 0.4191,                0.38063,                0.89013,                 0.9889,                0.99896,                0.99494,                0.83834,                0.50925,                0.29757,                0.89542,              0.0099307,              0.0099307,              0.0099307
                      9,                0.41613,                0.37311,                0.89604,                0.98909,                0.99926,                0.99463,                0.81299,                0.58291,                0.34653,                0.91575,              0.0099208,              0.0099208,              0.0099208
                     10,                0.39201,                0.37686,                0.89415,                0.98318,                0.98608,                0.99126,                  0.812,                0.49251,                 0.3114,                0.88816,              0.0099109,              0.0099109,              0.0099109
                     11,                 0.4058,                0.37656,                0.88375,                 0.9896,                0.99383,                0.99452,                0.82574,                0.48995,                0.28696,                0.88731,               0.009901,               0.009901,               0.009901
                     12,                0.41987,                0.36945,                0.88927,                0.99733,                0.98148,                0.99355,                 0.8342,                0.55229,                0.31462,                0.89973,              0.0098911,              0.0098911,              0.0098911
                     13,                0.43771,                0.38978,                0.89796,                 0.9837,                0.99759,                 0.9947,                 0.8321,                0.54392,                0.33667,                0.89962,              0.0098812,              0.0098812,              0.0098812
                     14,                0.43117,                 0.3925,                0.89822,                0.98861,                0.98765,                0.99384,                 0.8235,                0.55642,                0.33312,                0.90788,              0.0098713,              0.0098713,              0.0098713
                     15,                0.42741,                0.37308,                 0.8906,                0.99063,                0.98424,                 0.9944,                0.81774,                0.56259,                0.32201,                0.91296,              0.0098614,              0.0098614,              0.0098614
                     16,                0.41356,                0.37513,                0.88908,                0.99684,                0.98148,                0.98848,                0.81379,                0.51533,                0.33746,                0.89501,              0.0098515,              0.0098515,              0.0098515
                     17,                0.42323,                0.38477,                 0.8904,                0.99147,                0.98765,                0.99148,                0.80417,                0.54172,                0.38338,                0.89664,              0.0098416,              0.0098416,              0.0098416
                     18,                  0.425,                0.35792,                0.88816,                0.98341,                0.98765,                0.99397,                0.82174,                0.59397,                0.36037,                0.92437,              0.0098317,              0.0098317,              0.0098317
                     19,                0.40603,                0.37104,                 0.8916,                0.99097,                0.98765,                0.99426,                0.82849,                0.56615,                0.34517,                0.90327,              0.0098218,              0.0098218,              0.0098218
                     20,                 0.4093,                0.39972,                0.89339,                 0.9968,                0.97327,                0.99028,                0.82132,                0.51318,                0.31112,                0.89582,              0.0098119,              0.0098119,              0.0098119
                     21,                0.41688,                0.37866,                 0.8916,                0.99015,                0.99932,                0.99451,                0.83348,                0.52929,                0.32911,                 0.8945,               0.009802,               0.009802,               0.009802
                     22,                0.41318,                0.37337,                0.88939,                0.98993,                 0.9853,                0.99425,                 0.8393,                 0.4704,                 0.3028,                0.88917,              0.0097921,              0.0097921,              0.0097921
                     23,                0.40675,                 0.3667,                 0.8903,                0.98165,                      1,                 0.9947,                0.82977,                0.49066,                0.31376,                0.89159,              0.0097822,              0.0097822,              0.0097822
                     24,                 0.4278,                0.36681,                0.88336,                0.99619,                 0.9925,                0.99488,                0.82673,                0.51877,                0.35536,                0.89059,              0.0097723,              0.0097723,              0.0097723
                     25,                0.41337,                0.36352,                0.88844,                0.99381,                0.98765,                0.99476,                0.79291,                0.54919,                0.31152,                0.90191,              0.0097624,              0.0097624,              0.0097624
                     26,                0.41492,                 0.3486,                0.90016,                 0.9769,                0.99377,                0.99399,                 0.8296,                0.56883,                0.31597,                0.90315,              0.0097525,              0.0097525,              0.0097525
                     27,                0.40917,                0.33396,                0.88362,                0.98827,                0.99383,                0.99464,                0.82746,                0.48666,                 0.3161,                0.88823,              0.0097426,              0.0097426,              0.0097426
                     28,                0.41008,                0.36243,                0.89478,                0.98354,                0.99803,                 0.9947,                 0.8303,                0.51904,                0.32868,                0.89076,              0.0097327,              0.0097327,              0.0097327
                     29,                0.41992,                0.36355,                0.88554,                0.99625,                0.98099,                0.99376,                0.81135,                0.51579,                0.29145,                0.89506,              0.0097228,              0.0097228,              0.0097228
                     30,                0.40097,                0.35916,                0.88923,                0.99059,                0.99975,                0.99482,                0.79944,                 0.5811,                0.37236,                0.90448,              0.0097129,              0.0097129,              0.0097129
                     31,                0.39749,                0.35046,                0.88412,                0.98914,                0.99383,                0.99408,                0.81242,                0.51392,                0.31808,                0.88851,               0.009703,               0.009703,               0.009703
                     32,                0.41451,                0.36571,                0.89195,                 0.9899,                0.98765,                0.99329,                0.82543,                0.47625,                0.29082,                0.88352,              0.0096931,              0.0096931,              0.0096931
                     33,                0.39142,                0.35072,                0.88824,                0.99077,                0.98148,                0.99406,                0.82305,                0.49212,                0.34508,                0.88803,              0.0096832,              0.0096832,              0.0096832
                     34,                0.40721,                0.34085,                0.89027,                0.99082,                0.99942,                0.99476,                0.82848,                0.50873,                0.33322,                0.88848,              0.0096733,              0.0096733,              0.0096733
                     35,                0.39742,                0.36116,                0.87864,                0.97728,                0.99778,                 0.9944,                 0.8282,                0.47526,                 0.2909,                0.89472,              0.0096634,              0.0096634,              0.0096634
                     36,                0.38607,                0.32907,                0.87973,                0.99126,                0.97531,                0.98684,                0.81702,                0.50527,                0.30425,                 0.8935,              0.0096535,              0.0096535,              0.0096535
                     37,                0.39481,                0.33913,                0.88684,                 0.9844,                0.99297,                0.99418,                0.81929,                0.49865,                0.30028,                0.88674,              0.0096436,              0.0096436,              0.0096436
                     38,                0.41071,                0.34584,                0.88749,                  0.997,                0.98765,                0.99465,                0.80671,                 0.5371,                0.31797,                0.89294,              0.0096337,              0.0096337,              0.0096337
                     39,                0.39699,                0.35356,                0.88348,                0.99376,                0.98148,                0.99305,                0.83023,                0.50661,                0.30784,                0.89525,              0.0096238,              0.0096238,              0.0096238
                     40,                0.39464,                0.33242,                0.87693,                0.99042,                0.99933,                0.99476,                0.83037,                0.48172,                0.29749,                0.88787,              0.0096139,              0.0096139,              0.0096139
                     41,                0.40835,                0.33986,                0.87544,                0.99022,                0.98739,                0.99383,                0.81047,                0.54864,                0.34076,                0.90371,               0.009604,               0.009604,               0.009604
                     42,                0.38694,                0.35928,                  0.886,                 0.9896,                0.99824,                0.99366,                 0.8248,                0.53818,                0.33536,                0.89387,              0.0095941,              0.0095941,              0.0095941
                     43,                0.39132,                0.33377,                0.88981,                0.98968,                      1,                 0.9939,                0.83449,                0.52349,                0.30371,                0.89103,              0.0095842,              0.0095842,              0.0095842
                     44,                0.38157,                0.33366,                0.88292,                0.98941,                0.99911,                 0.9936,                0.81495,                0.49406,                 0.2757,                0.88659,              0.0095743,              0.0095743,              0.0095743
                     45,                0.41032,                0.34246,                0.88146,                0.98441,                0.98148,                0.98959,                0.81075,                 0.4717,                 0.2759,                0.88606,              0.0095644,              0.0095644,              0.0095644
                     46,                0.39656,                0.36228,                0.87996,                0.98968,                0.99232,                0.99476,                0.82082,                0.52527,                0.34401,                0.88914,              0.0095545,              0.0095545,              0.0095545
                     47,                0.39562,                0.34094,                0.87723,                0.98925,                 0.9983,                0.99445,                0.81311,                 0.4904,                0.28565,                0.89038,              0.0095446,              0.0095446,              0.0095446
                     48,                0.38388,                0.34287,                0.88641,                0.98892,                0.99825,                0.99488,                0.82747,                0.47709,                0.28617,                0.88912,              0.0095347,              0.0095347,              0.0095347
                     49,                0.37976,                0.33546,                0.88224,                0.99813,                0.98576,                 0.9941,                0.83615,                 0.4988,                0.30202,                0.88731,              0.0095248,              0.0095248,              0.0095248
                     50,                0.38613,                0.34163,                0.87956,                0.99154,                0.98765,                0.99363,                0.83051,                 0.4571,                0.30283,                0.88495,              0.0095149,              0.0095149,              0.0095149
                     51,                0.38938,                0.36199,                0.89092,                0.99009,                0.99383,                0.99378,                0.83074,                0.51066,                 0.3096,                0.89381,               0.009505,               0.009505,               0.009505
                     52,                0.38019,                0.34996,                0.89171,                0.98322,                0.98847,                0.99446,                0.80939,                0.51226,                 0.2984,                0.89672,              0.0094951,              0.0094951,              0.0094951
