                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.36858,                0.39029,                0.89317,                0.99731,                0.98672,                0.98548,                0.83993,                0.45882,                0.35805,                 0.8815,               0.070769,              0.0032479,              0.0032479
                      1,                0.37614,                0.39424,                0.88456,                 0.9959,                0.98048,                0.98739,                0.81411,                0.53081,                0.36478,                 0.8945,               0.040763,              0.0065747,              0.0065747
                      2,                0.41985,                0.41985,                0.88431,                0.98957,                0.98148,                0.98764,                0.81308,                0.54734,                0.42344,                0.90426,                0.01075,              0.0098949,              0.0098949
                      3,                0.44925,                0.41318,                0.90314,                0.99655,                0.97531,                0.98679,                0.81361,                0.52697,                0.33929,                0.91038,              0.0099703,              0.0099703,              0.0099703
                      4,                0.46866,                0.41763,                0.90347,                 0.9974,                0.97992,                0.98782,                 0.8129,                0.57088,                0.36344,                0.90754,              0.0099703,              0.0099703,              0.0099703
                      5,                0.45191,                0.42896,                0.89992,                0.98266,                      1,                0.99476,                0.82417,                0.51646,                0.39378,                0.90703,              0.0099604,              0.0099604,              0.0099604
                      6,                0.44457,                0.40491,                0.89463,                0.99674,                0.98148,                0.99464,                0.81026,                0.59083,                0.44314,                0.90711,              0.0099505,              0.0099505,              0.0099505
                      7,                0.43265,                0.42662,                0.89597,                0.99251,                0.97531,                0.99299,                0.82103,                0.55999,                0.40759,                0.90529,              0.0099406,              0.0099406,              0.0099406
                      8,                0.43593,                0.42314,                0.88957,                0.98933,                0.97531,                0.98821,                 0.8187,                0.51014,                0.33801,                0.90025,              0.0099307,              0.0099307,              0.0099307
                      9,                0.44181,                  0.423,                0.90326,                  0.996,                0.97394,                0.99396,                0.82476,                0.51929,                0.34632,                0.90422,              0.0099208,              0.0099208,              0.0099208
                     10,                0.43687,                0.43335,                0.89882,                0.99416,                0.97531,                0.98869,                0.81141,                0.52232,                0.33374,                0.89215,              0.0099109,              0.0099109,              0.0099109
                     11,                0.44391,                0.42295,                 0.8924,                0.99841,                0.98148,                0.99345,                0.82395,                0.55463,                0.34914,                0.89605,               0.009901,               0.009901,               0.009901
                     12,                0.45596,                0.38703,                0.89304,                0.99594,                0.98148,                 0.9941,                0.84087,                0.52134,                0.32228,                0.89794,              0.0098911,              0.0098911,              0.0098911
                     13,                 0.4601,                 0.4086,                0.89935,                0.99455,                0.98148,                0.99407,                0.82191,                0.51918,                 0.3361,                0.89512,              0.0098812,              0.0098812,              0.0098812
                     14,                0.43899,                0.42419,                0.90117,                0.99743,                0.98718,                0.99438,                0.82931,                0.54641,                0.32129,                0.90356,              0.0098713,              0.0098713,              0.0098713
                     15,                0.44926,                0.40149,                  0.893,                0.98354,                0.99259,                0.99433,                 0.8297,                0.55373,                0.32479,                0.90184,              0.0098614,              0.0098614,              0.0098614
